# DRAFT emoji-data.txt
# For details about the format and other information, see index.html#Data_Files.
#
# Format
# Code ;  Default Style ; Ordering ;  Annotations ; Sources # Version Char Name
#
U+1F599 ; emoji ; 119 ; body, finger, hand, human, index, point ; w   # V7.0 (🖙) sideways white right pointing index
U+261D ;  text ;  120 ; body, finger, hand, human, index, point, up ; jw  # V1.1 (☝) white up pointing index
U+1F5A2 ; emoji ; 121 ; backhand, body, finger, hand, human, index, point, up ; w   # V7.0 (🖢) black up pointing backhand index
U+1F59E ; emoji ; 122 ; body, finger, hand, human, index, point, up ; w   # V7.0 (🖞) sideways white up pointing index
U+1F5A0 ; emoji ; 123 ; body, finger, hand, human, index, point, up ; w   # V7.0 (🖠) sideways black up pointing index
U+1F446 ; emoji ; 124 ; backhand, body, finger, hand, human, index, point, up ; jw  # V6.0 (👆) white up pointing backhand index
U+1F595 ; emoji ; 125 ; body, extended, finger, hand, human ; x   # V7.0 (🖕) reversed hand with middle finger extended
U+261F ;  text ;  126 ; body, down, finger, hand, human, index, point ; x   # V1.1 (☟) white down pointing index
U+1F597 ; emoji ; 127 ; body, down, finger, hand, human, index, point ; w   # V7.0 (🖗) white down pointing left hand index
U+1F5A3 ; emoji ; 128 ; backhand, body, down, finger, hand, human, index, point ; w   # V7.0 (🖣) black down pointing backhand index
U+1F59F ; emoji ; 129 ; body, down, finger, hand, human, index, point ; w   # V7.0 (🖟) sideways white down pointing index
U+1F5A1 ; emoji ; 130 ; body, down, finger, hand, human, index, point ; w   # V7.0 (🖡) sideways black down pointing index
U+1F447 ; emoji ; 131 ; backhand, body, down, finger, hand, human, index, point ; jw  # V6.0 (👇) white down pointing backhand index
U+270C ;  text ;  132 ; body, hand, human, v, victory ; zjw   # V1.1 (✌) victory hand
U+1F594 ; emoji ; 133 ; body, hand, human, victory ;  x   # V7.0 (🖔) reversed victory hand
U+1F596 ; emoji ; 134 ; body, finger, hand, human, part, spock, vulcan ;  x   # V7.0 (🖖) raised hand with part between middle and ring fingers
U+270A ;  emoji ; 135 ; body, fist, hand, human ; j   # V6.0 (✊) raised fist
U+270B ;  emoji ; 136 ; body, hand, human ; j   # V6.0 (✋) raised hand
U+1F44A ; emoji ; 137 ; body, clenched, facepunch, fist, hand, human, punch ; j   # V6.0 (👊) fisted hand sign
U+1F44B ; emoji ; 138 ; body, hand, human, wave, waving ; j   # V6.0 (👋) waving hand sign
U+1F44C ; emoji ; 139 ; body, hand, human, ok ; j   # V6.0 (👌) ok hand sign
U+1F44D ; emoji ; 140 ; +1, body, hand, human, thumb, thumbs’s up, up ; jw  # V6.0 (👍) thumbs up sign
U+1F592 ; emoji ; 141 ; body, hand, human, thumb, up ;  w   # V7.0 (🖒) reversed thumbs up sign
U+1F44E ; emoji ; 142 ; -1, body, down, hand, human, thumb, thumb’s down ;  jw  # V6.0 (👎) thumbs down sign
U+1F593 ; emoji ; 143 ; body, down, hand, human, thumb ;  w   # V7.0 (🖓) reversed thumbs down sign
U+1F44F ; emoji ; 144 ; body, clap, hand, human ; j   # V6.0 (👏) clapping hands sign
U+1F450 ; emoji ; 145 ; body, hand, human, open ; j   # V6.0 (👐) open hands sign
U+270D ;  text ;  146 ; body, hand, human, writing ;  zw  # V1.1 (✍) writing hand
U+1F58E ; emoji ; 147 ; body, hand, human, writing ;  w   # V7.0 (🖎) left writing hand
U+1F58F ; emoji ; 148 ; body, hand, human, ok ; w   # V7.0 (🖏) turned ok hand sign
U+1F590 ; emoji ; 149 ; body, finger, hand, human, splayed ;  w   # V7.0 (🖐) raised hand with fingers splayed
U+1F591 ; emoji ; 150 ; body, finger, hand, human, splayed ;  w   # V7.0 (🖑) reversed raised hand with fingers splayed
U+1F485 ; emoji ; 151 ; body, care, cosmetics, human, manicure, nail, polish ;  j   # V6.0 (💅) nail polish
U+1F4AA ; emoji ; 152 ; biceps, body, comic, flex, human, muscle ;  j   # V6.0 (💪) flexed biceps
U+1F463 ; emoji ; 153 ; body, clothing, footprint, footprints, human, print ; j   # V6.0 (👣) footprints
U+1F440 ; emoji ; 154 ; body, eyes, face ;  j   # V6.0 (👀) eyes
U+1F441 ; emoji ; 155 ; body, eye ; w   # V7.0 (👁) eye
U+1F442 ; emoji ; 156 ; body, ear, human ;  jw  # V6.0 (👂) ear
U+1F443 ; emoji ; 157 ; body, human, nose ; j   # V6.0 (👃) nose
U+1F445 ; emoji ; 158 ; body, human, tongue ; j   # V6.0 (👅) tongue
U+1F480 ; emoji ; 159 ; body, face, fairy tale, skull ; j   # V6.0 (💀) skull
U+1F571 ; emoji ; 160 ; body, crossbones, face, skull ; w   # V7.0 (🕱) black skull and crossbones
U+2620 ;  text ;  161 ; body, crossbones, face, skull ; x   # V1.1 (☠) skull and crossbones
U+1F48B ; emoji ; 162 ; emotion, heart, human, kiss, lips, romance ;  j   # V6.0 (💋) kiss mark
U+1F444 ; emoji ; 163 ; body, human, lips, mouth ;  j   # V6.0 (👄) mouth
U+1F5E2 ; emoji ; 164 ; body, hand, human, lips, rating ; w   # V7.0 (🗢) lips
U+1F498 ; emoji ; 165 ; arrow, cupid, emotion, heart ;  j   # V6.0 (💘) heart with arrow
U+2764 ;  text ;  166 ; emotion, heart ;  zj  # V1.1 (❤) heavy black heart
U+1F493 ; emoji ; 167 ; beating, emotion, heart, heartbeat, pulsating ; j   # V6.0 (💓) beating heart
U+1F494 ; emoji ; 168 ; break, broken, emotion, heart ; j   # V6.0 (💔) broken heart
U+1F495 ; emoji ; 169 ; emotion, heart, love ;  j   # V6.0 (💕) two hearts
U+1F496 ; emoji ; 170 ; emotion, excited, heart, sparkle, sparkler ;  j   # V6.0 (💖) sparkling heart
U+1F497 ; emoji ; 171 ; emotion, excited, growing, heart, heartpulse, nervous ; j   # V6.0 (💗) growing heart
U+1F499 ; emoji ; 172 ; blue, emotion, heart ;  j   # V6.0 (💙) blue heart
U+1F49A ; emoji ; 173 ; emotion, green, heart ; j   # V6.0 (💚) green heart
U+1F49B ; emoji ; 174 ; emotion, heart, yellow ;  j   # V6.0 (💛) yellow heart
U+1F49C ; emoji ; 175 ; emotion, heart, purple ;  j   # V6.0 (💜) purple heart
U+1F49D ; emoji ; 176 ; emotion, heart, ribbon, valentine ; j   # V6.0 (💝) heart with ribbon
U+1F49E ; emoji ; 177 ; emotion, heart, revolving ; j   # V6.0 (💞) revolving hearts
U+1F49F ; emoji ; 178 ; emotion, heart ;  j   # V6.0 (💟) heart decoration
